,Unnamed: 0,tag,token0,token1,date,timestamp,token0_daily_price_median_mint,token0_daily_amount_mint,token0_daily_price_median_burn,token0_daily_amount_burn,token0_daily_amount_net_mint_burn,liquidity_daily_sum_mint,liquidity_daily_sum_burn,liquidity_daily_net_mint_burn,token0_daily_price_median_swap,token0_daily_price_min_swap,token0_daily_price_max_swap,token0_daily_price_std_swap,token0_daily_amount_buy_swap,token0_daily_amount_sell_swap,token0_daily_amount_net_swap,total_events_daily_mint,total_events_daily_burn,total_events_daily_swap,total_events_daily
138,138,USDC_USDT,USDC,USDT,2023-11-01,1698796800,0.9888519153194264,-24632.429684,0.9888520398414918,9200.074346999998,-15432.355337000005,44572881068256.0,-12948408356575.0,31624472711681.0,0.9995903389891926,1.0091743119266054,0.9857142857142857,0.0004142293624984,1546258.824292,-1488861.5424450005,57397.28184699966,213,90,3441,3744
141,141,USDC_USDT,USDC,USDT,2023-11-02,1698883200,0.9888519053969342,-22805.601269,0.988851973467518,8569.078379,-14236.522889999998,28530003233003.0,-13430882518357.0,15099120714646.0,0.9996790340510012,1.0010010010010009,0.997,9.73279131052783e-05,1387998.703135,-1397595.127119,-9596.423983999994,206,64,2963,3233
143,143,USDC_USDT,USDC,USDT,2023-11-03,1698969600,0.988851909090909,-23798.310373,0.9888519123638144,18257.157674,-5541.152699000002,40674964035285.0,-52212729099837.0,-11537765064552.0,0.9996550453058306,1.0012515644555695,0.9803921568627452,0.000349019090081,1884527.246542,-1879066.447998,5460.798543999903,228,90,3421,3739
145,145,USDC_USDT,USDC,USDT,2023-11-04,1699056000,0.988851896865837,-45484.640279,0.9888519161032072,19791.039668,-25693.600611,135172809004848.0,-269134461933673.0,-133961652928825.0,0.999710079232588,1.000396308164829,0.990625,0.0001740100550436,2478743.629586,-2380860.010798,97883.6187880002,455,149,4733,5337
147,147,USDC_USDT,USDC,USDT,2023-11-05,1699142400,0.990372213515484,-31985.665265,0.9903722196699124,26386.579698,-5599.085566999998,500560670112250.0,-75556225089856.0,425004445022394.0,0.9996844732388868,1.0044642857142858,0.997,0.0001206703093546,2212215.253524,-2211096.947582,1118.30594199989,320,160,4379,4859
148,148,USDC_USDT,USDC,USDT,2023-11-06,1699228800,0.9903722177777778,-11855.612267,0.990372218150977,13034.150119,1178.5378519999997,12448383770243.0,-31566596738984.0,-19118212968741.0,0.999653923355559,1.0001138779440566,0.997,0.0001022363780613,864757.218422,-816469.980463,48287.23795899993,139,66,1665,1870
150,150,USDC_USDT,USDC,USDT,2023-11-07,1699315200,0.9937991258561172,-21475.557788,0.9937992990676864,16340.782265000002,-5134.775522999997,10930704690495.0,-5019422435819.0,5911282254676.0,0.9996912711511378,1.0010010010010009,0.997,0.0001038093485772,1564995.828665,-1508304.333825,56691.49483999983,143,53,2030,2226
152,152,USDC_USDT,USDC,USDT,2023-11-08,1699401600,0.9937993140506444,-18869.875908,0.9937993136444208,16482.064149,-2387.811759,13904929944924.0,-12304947131250.0,1599982813674.0,0.9997696789934633,1.0112359550561798,0.9995297355628818,0.0003328133230342,1000582.603661,-965943.542962,34639.06069899991,113,54,2018,2185
154,154,USDC_USDT,USDC,USDT,2023-11-09,1699488000,0.9937993121959856,-7858.161211999999,0.9937993143872318,17888.571537,10030.410325,17626635146062.0,-80210520294499.0,-62583885148437.0,0.9997581328110916,1.0005011257721146,0.9993723330210896,9.516029398387952e-05,856851.6638529999,-773104.380304,83747.28354899993,64,33,928,1025
156,156,USDC_USDT,USDC,USDT,2023-11-10,1699574400,0.9937993,-6111.182718,0.9937993151470146,7181.961815,1070.7790969999996,7747814117196.0,-17252617113568.0,-9504802996372.0,0.9997457963432468,1.0101010101010102,0.98,0.0008958932695928,705458.870943,-753795.100991,-48336.230048,44,30,1125,1199
158,158,USDC_USDT,USDC,USDT,2023-11-11,1699660800,0.9937993139548236,-10720.145592,0.99379931498271,7424.748786,-3295.396805999999,18380241413575.0,-5009101850936.0,13371139562639.0,0.9997728895469532,1.0002677376171352,0.9991867714827868,5.152425984090834e-05,1488030.782258,-1462964.449518,25066.332739999983,114,58,2933,3105
160,160,USDC_USDT,USDC,USDT,2023-11-12,1699747200,0.9937993112407496,-30871.91818,0.9937993330533376,12626.166701000002,-18245.751479,118829276696418.0,-83692001849029.0,35137274847389.0,0.9998075235031564,1.5,0.95,0.0077694564962384,1998578.974468,-1981714.716804,16864.25766400015,162,88,4491,4741
163,163,USDC_USDT,USDC,USDT,2023-11-13,1699833600,0.9937993154660107,-9693.050682999998,0.9937993153119552,6174.068129,-3518.982553999997,9965412649297.0,-18807985026644.0,-8842572377347.0,0.9998220630722418,1.0101010101010102,0.9995640318126388,0.0002550609264848,1156816.769617,-1106167.083596,50649.68602100015,98,34,1701,1833
165,165,USDC_USDT,USDC,USDT,2023-11-14,1699920000,0.993799315657394,-19648.783559,0.9937993148017016,13742.375613,-5906.407945999999,16807740749217.0,-88168256050343.0,-71360515301126.0,0.9998498712526204,1.0010010010010009,0.999250685325802,7.129901697745672e-05,1496155.961669,-1407770.6623449998,88385.29932400002,120,28,2835,2983
